股號,公司,五年內發放次數,最近一次發放,上次紀念品,最近股價,五年紀念品總估值,新版性價比,新版推薦評分,去年條件,五年發放紀念品
1101,台泥,5,2025,多功能雙面蓋毯,24.6,570,23.17,5 星,電子投票截圖,"(2025)多功能雙面蓋毯
(2024)餐具組(台泥中橡)
(2023)分隔便當盒
(2022)環保不鏽鋼保溫瓶
(2021)竹蓋玻璃保鮮盒三件組"
1103,嘉泥,5,2025,GiveU 尼龍收納三用包,13.5,240,17.78,5 星,電子投票截圖,"(2025)GiveU 尼龍收納三用包
(2024)NAKAMURA環保置衣籃
(2023)Jack wolfskin石墨烯護膝
(2022)Jack Wolfskin石墨烯頭戴及護腕
(2021)輕旅行收納袋"
1104,環泥,1,2023,7-11商品卡50元,30,50,0.33,2 星,,(2023)7-11商品卡50元
1201,味全,5,2025,料理高手調味料,14.05,230,16.37,5 星,電子投票截圖,"(2025)料理高手調味料
(2024)料理高手-蔬果本味調味料
(2023)貝納頌 冷熱萃浸泡咖啡(隨機)
(2022)貝納頌極品濾掛咖啡 8克x8包
(2021)貝納頌咖啡"
1203,味王,5,2025,咖哩雞肉(2入組)一盒,38.6,220,5.7,5 星,電子投票截圖,"(2025)咖哩雞肉(2入組)一盒
(2024)大食客威士忌桶麵(3碗)隨機出貨
(2023)雞蓉藜麥粥 (二包裝) 1盒
(2022)惦惦吃拌麵1袋4包
(2021)XO梅甘醬油禮盒"
1210,大成,1,2025,安心購150元抵用券,52.9,150,0.57,3 星,電子投票截圖,(2025)安心購150元抵用券
1215,卜蜂,5,2025,雞肉鬆,153.5,200,1.3,4 星,電子投票截圖,"(2025)雞肉鬆
(2024)雞肉鬆
(2023)雞肉鬆
(2022)雞肉鬆
(2021)雞肉鬆"
1217,愛之味,5,2025,愛之味麻婆豆腐2罐,10.25,200,19.51,5 星,電子投票截圖,"(2025)愛之味麻婆豆腐2罐
(2024)愛之味鮪魚片2罐
(2023)愛之味韓式泡菜3罐
(2022)愛之味水煮鮪魚3罐
(2021)愛之味忘不了核桃燕麥粥 三罐"
1218,泰山,5,2024,泰山仙草冬瓜露(3入)一組,19.15,310,16.19,5 星,電子投票截圖,"(2024)泰山仙草冬瓜露(3入)一組
(2023)泰山花生仁湯(4入)一組
(2022)泰山燕麥奶花生(3入)
(2021)泰山植醇葵花油600ml
(2021)泰山玄米油600ml"
1219,福壽,2,2025,福壽香油,13.55,80,2.36,5 星,電子投票截圖,"(2025)福壽香油
(2023)福壽香油200克"
1220,台榮,3,2025,伊莎貝爾無患子洗手乳(250ml),12.85,120,5.6,5 星,電子投票截圖,"(2025)伊莎貝爾無患子洗手乳(250ml)
(2024)驅塵氏雙軌密封夾鏈袋10入
(2023)妙管家洗潔精500g"
1225,福懋油,2,2025,7-11 100元商品卡,32.55,150,1.84,5 星,電子投票截圖,"(2025)7-11 100元商品卡
(2024)7-11商品卡50元"
1305,華夏,1,2025,USii優系高效鎖鮮袋,13.75,40,0.58,3 星,電子投票截圖,(2025)USii優系高效鎖鮮袋
1308,亞聚,2,2025,USii優系高效鎖鮮袋,14.95,80,2.14,5 星,電子投票截圖,"(2025)USii優系高效鎖鮮袋
(2022)USii優系高效鎖鮮袋超值組合包"
1309,台達化,4,2025,USii優系高效鎖鮮袋,15.3,160,8.37,5 星,電子投票截圖,"(2025)USii優系高效鎖鮮袋
(2024)USii優系高效鎖鮮袋L 15入
(2023)USii優系高效鎖鮮袋超值組合包
(2022)USii優系高效鎖鮮袋超值組合包"
1310,台苯,7,2025,常健順暢益生菌,11.85,870,71.95,5 星,寄單(開會通知書)和電子投票截圖和身分證件正本,"(2025)常健順暢益生菌
(2024)甲魚全沛全方位維他命
(2024)甲魚全沛全方位維他命
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)陽明山天籟大飯店VIP貴賓券(市價600元泡湯券)
(2021)7-11商品卡50元"
1312,國喬,5,2025,掌廚可樂膳304不鏽鋼分隔防燙保鮮盒,13.65,380,27.84,5 星,電子投票截圖,"(2025)掌廚可樂膳304不鏽鋼分隔防燙保鮮盒
(2024)鍋寶不鏽鋼雙層手提餐盒
(2023)VISIONS多功能導磁盤
(2022)蜂王橄欖潤澤草本皂二入
(2021)蜂王乳油木果皂80克二入"
1314,中石化,5,2025,7-11 100元商品卡,8.74,620,49.66,5 星,身分證件正本,"(2025)7-11 100元商品卡
(2024)不鏽鋼單柄鍋
(2023)中石化五件式修容組
(2022)不鏽鋼智能保溫瓶
(2021)真空不鏽鋼隨身瓶(中石化)"
1316,上曜,6,2025,美之若返2包,12.8,330,30.94,5 星,電子投票截圖,"(2025)美之若返2包
(2025)朝和生醫保健食品一包
(2024)朝和生醫葉黃素魚油軟膠囊一包10粒
(2023)洋甘菊舒緩潤膚皂70克三入
(2022)毛寶繽紛花園抗菌洗手乳
(2021)折疊小板凳"
1324,地球,1,2024,正字絕緣膠帶,10.4,40,0.77,3 星,電子投票截圖,(2024)正字絕緣膠帶
1325,恆大,5,2025,立體外科口罩壹盒(不可上架商城),27.5,200,7.27,5 星,電子投票截圖,"(2025)立體外科口罩壹盒(不可上架商城)
(2024)立體醫用口罩壹盒30片
(2023)口罩壹盒(恆大)
(2022)口罩10片入 二包(恆大)
(2021)口罩10片入 二包(恆大)"
1337,再生-KY,5,2025,居慕洗手液,5.83,210,36.02,5 星,電子投票截圖,"(2025)居慕洗手液
(2024)居慕洗手液-小蒼蘭
(2023)居慕抗菌洗手乳-茶樹
(2022)居慕 洋甘菊洗手液
(2021)蜂王綠野草本皂70克二入"
1338,廣華-KY,5,2025,7-11 50元商品卡,15.15,450,29.7,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡100元
(2023)7-11商品卡100元
(2022)7-11商品卡100元
(2021)7-11商品卡100元"
1340,勝悅-KY,5,2025,全家 50元商品卡,7.4,250,23.65,5 星,電子投票截圖和身分證件正本,"(2025)全家 50元商品卡
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家禮物卡50元
(2021)7-11商品卡50元"
1409,新纖,2,2025,菱格紳士襪乙雙,16.45,80,1.95,5 星,電子投票截圖,"(2025)菱格紳士襪乙雙
(2023)紳士襪"
1414,東和,5,2025,羊毛保暖圍巾,19.85,240,12.09,5 星,電子投票截圖,"(2025)羊毛保暖圍巾
(2024)襪子(東和)
(2023)脖圍
(2022)健康機能五趾襪
(2021)超細抗起球毬保暖手套"
1416,廣豐,5,2025,毛巾,11.7,300,25.64,5 星,,"(2025)毛巾
(2024)毛巾
(2023)毛巾
(2022)毛巾
(2021)毛巾"
1417,嘉裕,5,2025,機能襪,8.63,200,23.17,5 星,電子投票截圖,"(2025)機能襪
(2024)洗臉馬卡龍
(2023)拭鏡布
(2022)拭鏡布
(2021)竹纖維口罩套"
1418,東華,5,2025,EVA雨衣,18.5,210,7.95,5 星,電子投票截圖和身分證件正本,"(2025)EVA雨衣
(2024)可折疊桌面手機支架(夆典前鼎聯合東華)
(2023)實用原子筆一組
(2022)口罩六入(東華)
(2021)潤膚皂(東華)"
1423,利華,4,2024,不鏽鋼玻璃定量油壺,39.9,250,3.51,5 星,電子投票截圖或身分證件圖片,"(2024)不鏽鋼玻璃定量油壺
(2023)伊莎貝爾櫻花香皂75克一入
(2022)酒精噴霧筆
(2021)日式保溫保冷袋1個"
1432,大魯閣,5,2025,『800元消費抵用券』、『每月玩樂買1送1券』8張,18.85,3780,200.53,5 星,,"(2025)『800元消費抵用券』、『每月玩樂買1送1券』8張
(2024)大魯閣Plus APP 消費抵用券
(2023)大魯閣集團800元消費抵用券及8張每月買一送一券
(2022)『700元消費抵用券』及7張『每月玩樂買1送1券』
(2021)大魯閣集團600元消費抵用券"
1435,中福,6,2024,7-11商品卡35元,19.05,235,14.8,5 星,電子投票截圖,"(2024)7-11商品卡35元
(2024)7-11商品卡35元
(2022)全家禮物卡50元
(2022)7-11商品卡35元
(2022)康寧餐碗組二入
(2021)康寧 VISIONS晶彩琥珀8.5吋深盤二入組"
1440,南紡,2,2025,統一好勁道麵條5入組,12.6,80,1.78,5 星,身分證件正本,"(2025)統一好勁道麵條5入組
(2022)KOLLOS洸動能護芯襪"
1443,立益物流,1,2022,全家禮物卡50元,24.8,50,0.4,3 星,,(2022)全家禮物卡50元
1449,佳和,5,2025,隨機口罩一包(不可上架商城),10.75,320,29.77,5 星,電子投票截圖,"(2025)隨機口罩一包(不可上架商城)
(2024)佳和4D立體醫用口罩5片(未滅菌)
(2023)佳和醫用口罩10片(未滅菌)
(2022)佳和醫用口罩10片(未滅菌)
(2021)防護口罩 三入"
1452,宏益,5,2025,高露潔旅行組(牙刷牙膏20g),11.1,230,20.72,5 星,電子投票截圖,"(2025)高露潔旅行組(牙刷牙膏20g)
(2024)蜂王洋甘菊舒緩潤膚皂70克二入
(2023)伊莎貝爾尤加利潔手慕斯250ml
(2022)抗菌石鹼80克 二入
(2021)蜂王綠野草本皂70克二入"
1463,強盛新,2,2025,7-11 50元商品卡,17.95,100,2.23,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2025)7-11商品卡50元"
1464,得力,1,2023,7-11商品卡50元,10.7,50,0.93,4 星,,(2023)7-11商品卡50元
1466,聚隆,1,2021,防護口罩1盒(10入),18,40,0.44,3 星,,(2021)防護口罩1盒(10入)
1471,首利,5,2025,7-11 35元商品卡,13,175,9.42,5 星,電子投票截圖和身分證件正本,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元
(2021)7-11商品卡35元"
1503,士電,1,2023,伸縮軟管手電筒,203,40,0.04,1 星,,(2023)伸縮軟管手電筒
1504,東元,3,2024,餐品兌換券 (摩斯/樂雅樂),69.9,240,2.06,5 星,電子投票截圖,"(2024)餐品兌換券 (摩斯/樂雅樂)
(2023)摩斯樂雅樂餐品兌換券 (東元)
(2021)康寧餐碗組二入"
1506,正道,1,2022,燕麥肌膚舒緩柔膚皂 80克,11.45,50,0.87,4 星,,(2022)燕麥肌膚舒緩柔膚皂 80克
1512,瑞利,4,2024,7-11商品卡50元,7.84,250,17.86,5 星,身分證件正本,"(2024)7-11商品卡50元
(2023)超商商品卡50元
(2022)毛寶抗菌洗衣精
(2021)超商商品卡"
